,Zeitstempel,Gender,Age,Education (highest degree),Place of residence,Do you like pineapple on pizza?,Do you like Kaiserschmarrn better with raisins or without?,"When making toast with chocolate spread (e.g., Nutella), do you also use butter? ","How many times per month do you make online purchases? (included: physical & digital products, excluded: subscriptions like Spotify, Netflix, …)  ","When you shop, are you more likely to purchase items you've researched and intended to buy, or items you see and decide to buy on the spot?  ",How comfortable are you with personalized advertising?  ,What do you use more often: On-demand streaming or regular television (fixed program)?,Do you prefer movies or series/tv-shows?,How often do you watch movies or shows?,Do you think commercial space travel to mars will be realistic in the future?,Do you think the idea of space tourism is environmentally sustainable?,Do you support the idea to use public money to support commercial space travel?,Do you use any chatbot like ChatGPT or Copilot?  ,For which tasks do you use chatbots? ,In which context do you use chatbots?,How often do you use chatbots?,How useful are the answers to you?,Do you currently own a Klimaticket?,How would you describe the public transport availability in your hometown?,How often do you use public transport?,Did you have any of these allergy prone pets in your childhood (age < 16)?,Are you allergic to any of those pets?,Do you own any of those pets or do you plan on having any of them?,"Have you ever heard of cryptocurrencies (e.g., Bitcoin or Ethereum)?",Have you ever owned any cryptocurrency?,How would you describe your technical understanding of cryptocurrencies?,Have you ever sold any cryptocurrency?;;;;;;;;;
1,2025/03/26 11:25:21 AM OEZ,Female,20-29,Master's degree,Upper Austria,Yes,Without raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,Series/TV-shows,Sometimes,No,No,No,Yes,Explanation;Programming;Creative tasks;Writing,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,No,Good - The connection is usually reliable and well-developed for everyday use.,Rarely (only a few times a year),I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have at least two or more of the above mentioned pets,Yes,No,2,;;;;
15,2025/03/26 12:21:10 PM OEZ,Male,20-29,Master's degree,Upper Austria,Yes,With raisins,"No, never",Multiple times a month,Almost always items I've researched and intended to buy,Very uncomfortable,On-demand Streaming,Series/TV-shows,Often,No,No,No,Yes,Explanation;Programming,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Rarely (only a few times a year),Cat,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,3,;;;;;;
16,2025/03/26 12:24:14 PM OEZ,Female,20-29,High school diploma or equivalent,Vienna,Yes,Without raisins,"Yes, always",Multiple times a month,Almost always items I've researched and intended to buy,Very uncomfortable,On-demand Streaming,Series/TV-shows,Rarely,No,No,No,Yes,Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations)",Daily,Extremely,No,"Very good - Public transport is frequent, reliable and easily accessible.",Several times a week,"Small mammal (e.g., guinea pig, hamster, rabbit, ferret)","No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,Yes,3,Yes;;;;;;;;
17,2025/03/26 12:33:48 PM OEZ,Female,20-29,High school diploma or equivalent,Upper Austria,No,Without raisins,"Yes, always",Multiple times a month,Almost always items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,Series/TV-shows,Often,Yes,No,No,Yes,Explanation;Programming;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Shopping and e-commerce (e.g., product recommendations, order tracking);Technical support (e.g., troubleshooting, coding help);Health and wellness (e.g., symptom checking, mental health support)",Several times a week,Extremely,No,Very poor - Little or no public transport available.,Rarely (only a few times a year),"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,1,;
18,2025/03/26 12:33:50 PM OEZ,Female,20-29,Master's degree,Upper Austria,No,With raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Neutral,On-demand Streaming,Movies,Sometimes,Yes,Yes,Yes,Yes,Explanation;Teaching;Programming,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring)",Daily,Very,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,3,;;;;;;
19,2025/03/26 1:04:49 PM OEZ,Male,20-29,High school diploma or equivalent,Upper Austria,No,Without raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Very uncomfortable,On-demand Streaming,Movies,Often,Yes,No,No,Yes,Teaching,"Personal use (e.g., casual conversations, entertainment, recommendations);Education and learning (e.g., research, studying, tutoring)",Rarely,Moderately,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Several times a week,"Small mammal (e.g., guinea pig, hamster, rabbit, ferret)","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,5,;;;;;;;;
20,2025/03/26 1:17:24 PM OEZ,Male,20-29,Associate degree,Others (Not in Austria),Yes,Without raisins,"No, never",Never,Mostly items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,Series/TV-shows,Sometimes,Yes,No,No,No,,,,,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Daily,Cat,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),No,,,;;;;;;;;;
21,2025/03/26 1:44:54 PM OEZ,Male,20-29,Bachelor's degree,Vienna,Yes,With raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Often,Yes,No,No,Yes,Explanation;Programming;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,Cat,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,Yes,2,No;;;;
22,2025/03/26 1:51:06 PM OEZ,Male,20-29,High school diploma or equivalent,Vienna,Yes,Without raisins,"No, never",Multiple times a month,Almost always items I've researched and intended to buy,Somewhat uncomfortable,On-demand Streaming,Movies,Sometimes,Yes,No,Yes,No,,,,,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"Small mammal (e.g., guinea pig, hamster, rabbit, ferret)",Cat,"No, I do not have or plan on having any of those pets",Yes,No,2,;;;;;;;;;
23,2025/03/26 2:24:00 PM OEZ,Male,20-29,High school diploma or equivalent,Upper Austria,No,No preference,Sometimes,Multiple times a month,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Often,Yes,No,No,Yes,Writing,"Personal use (e.g., casual conversations, entertainment, recommendations)",Rarely,Moderately,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,"Small mammal (e.g., guinea pig, hamster, rabbit, ferret)","No, I am not allergic to any of those pets.",I have/plan to have at least two or more of the above mentioned pets,Yes,No,2,;;;;;;;;;
24,2025/03/26 2:47:09 PM OEZ,Male,20-29,High school diploma or equivalent,Vienna,No,With raisins,"No, never",Never,Almost always items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Often,No,No,No,Yes,Explanation,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring)",Several times a week,Very,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have at least two or more of the above mentioned pets,Yes,No,2,;;;;;;;
25,2025/03/26 6:43:57 PM OEZ,Male,20-29,High school diploma or equivalent,Upper Austria,No,With raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Very uncomfortable,On-demand Streaming,Movies,Sometimes,No,No,No,No,,,,,Yes (Austria-wide),Poor - The connection is unreliable or severely limited.,Several times a month,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,3,;;;;;;;;;
26,2025/03/26 7:10:27 PM OEZ,Female,50-59,High school diploma or equivalent,Upper Austria,Yes,With raisins,"No, never",Multiple times a month,Almost always items I've researched and intended to buy,Neutral,On-demand Streaming,No preference,Sometimes,No,No,No,No,,,,,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Several times a week,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,1,;;;;;;;;;
27,2025/03/26 7:29:34 PM OEZ,Male,30-39,Vocational or technical training,Upper Austria,Yes,No preference,Sometimes,Multiple times a month,Mostly items I've researched and intended to buy,Very uncomfortable,On-demand Streaming,Series/TV-shows,Often,No,No,No,Yes,Explanation;Teaching;Programming,"Personal use (e.g., casual conversations, entertainment, recommendations)",Rarely,Very,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Several times a month,Cat,"No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,2,;;;;;;;
28,2025/03/26 8:29:44 PM OEZ,Female,30-39,Bachelor's degree,Upper Austria,Yes,With raisins,"No, never",Never,Almost always items I've researched and intended to buy,Very uncomfortable,On-demand Streaming,Series/TV-shows,Often,No,No,No,Yes,Programming,"Work or business (e.g., customer support, automation, data analysis)",Rarely,Not at all,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Several times a week,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,2,;;;;;;;;;
29,2025/03/27 12:03:52 PM OEZ,Male,20-29,Bachelor's degree,Upper Austria,Yes,Without raisins,"No, never",Multiple times a month,About equally items I've researched and intended to buy and items I buy on the spot,Somewhat comfortable,On-demand Streaming,Series/TV-shows,Daily,Yes,No,Yes,Yes,Explanation;Programming;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Moderately,Yes (Austria-wide),"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Several times a week,I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,No,2,;;;
30,2025/03/27 12:13:15 PM OEZ,Male,20-29,High school diploma or equivalent,Lower Austria,No,With raisins,"Yes, always",Multiple times a month,Mostly items I've researched and intended to buy,Somewhat uncomfortable,On-demand Streaming,Series/TV-shows,Daily,Yes,No,No,No,,,,,No,Poor - The connection is unreliable or severely limited.,Rarely (only a few times a year),I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,Yes,3,No;;;;;;;;;
31,2025/03/27 12:23:04 PM OEZ,Female,20-29,Bachelor's degree,Upper Austria,No,Without raisins,Sometimes,Multiple times a month,Mostly items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Often,No,No,No,Yes,Explanation;Programming;Creative tasks,"Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Rarely (only a few times a year),I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have at least two or more of the above mentioned pets,Yes,No,3,;;;;;;
32,2025/03/27 12:31:41 PM OEZ,Male,20-29,Master's degree,Vienna,Yes,Without raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Somewhat uncomfortable,On-demand Streaming,Movies,Sometimes,Yes,No,No,Yes,Explanation;Programming,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Technical support (e.g., troubleshooting, coding help)",Several times a week,Moderately,No,"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,4,;;;;;;
33,2025/03/27 12:58:44 PM OEZ,Male,20-29,High school diploma or equivalent,Lower Austria,Yes,With raisins,"No, never",Multiple times a week,Mostly items I see and decide to buy on the spot,Neutral,Regular television (fixed program),Movies,Often,Yes,No,No,No,,,,,No,Poor - The connection is unreliable or severely limited.,Rarely (only a few times a year),"Small mammal (e.g., guinea pig, hamster, rabbit, ferret)","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,2,;;;;;;;;;
34,2025/03/27 1:05:57 PM OEZ,Female,20-29,Bachelor's degree,Vienna,Yes,Without raisins,"No, never",Multiple times a month,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Sometimes,No,No,No,Yes,Programming;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Education and learning (e.g., research, studying, tutoring);Shopping and e-commerce (e.g., product recommendations, order tracking);Health and wellness (e.g., symptom checking, mental health support)",Several times a week,Moderately,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Daily,Cat,Cat,"No, I do not have or plan on having any of those pets",Yes,No,1,;;;;
35,2025/03/27 1:24:33 PM OEZ,Female,20-29,Bruda keine Ahnung was Matura für a Abschluss is,Lower Austria,Yes,With raisins,"No, never",Never,Mostly items I've researched and intended to buy,Neutral,On-demand Streaming,Movies,Often,No,No,No,Yes,Explanation;Programming,"Work or business (e.g., customer support, automation, data analysis);Technical support (e.g., troubleshooting, coding help);Health and wellness (e.g., symptom checking, mental health support)",Several times a week,Very,No,Very poor - Little or no public transport available.,Rarely (only a few times a year),Cat,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,3,;;;;;;
36,2025/03/27 2:46:33 PM OEZ,Female,30-39,Master's degree,Upper Austria,Yes,With raisins,"Yes, always",Weekly,Mostly items I've researched and intended to buy,Very uncomfortable,On-demand Streaming,Movies,Rarely,No,No,No,Yes,Explanation;Teaching;Programming;Creative tasks;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Shopping and e-commerce (e.g., product recommendations, order tracking);Technical support (e.g., troubleshooting, coding help);Health and wellness (e.g., symptom checking, mental health support)",Daily,Very,Yes (Austria-wide),Very poor - Little or no public transport available.,Several times a week,I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,Yes,4,Yes
37,2025/03/27 4:57:25 PM OEZ,Female,20-29,Bachelor's degree,Vienna,Yes,Without raisins,"No, never",Daily,Mostly items I see and decide to buy on the spot,Very uncomfortable,On-demand Streaming,Series/TV-shows,Often,Yes,No,Yes,No,,,,,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),No,,,;;;;;;;;;
38,2025/03/27 5:05:22 PM OEZ,Female,20-29,Some college or university,Vienna,Yes,Without raisins,"No, never",Multiple times a month,About equally items I've researched and intended to buy and items I buy on the spot,Somewhat uncomfortable,On-demand Streaming,Series/TV-shows,Often,Yes,No,Yes,Yes,Creative tasks;Writing,"Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring)",Several times a month,Moderately,No,"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) dog(s),Yes,No,1,;;;;;;;
39,2025/03/27 5:19:17 PM OEZ,Female,20-29,Bachelor's degree,Others (Not in Austria),No,Without raisins,Sometimes,Multiple times a month,Almost always items I've researched and intended to buy,Neutral,On-demand Streaming,Series/TV-shows,Daily,Yes,No,Yes,Yes,Explanation;Teaching;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Several times a week,Very,Yes (Austria-wide),"Very good - Public transport is frequent, reliable and easily accessible.",Daily,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,No,2,;;;;
40,2025/03/29 10:14:35 AM OEZ,Male,20-29,Bachelor's degree,Upper Austria,No,Without raisins,"No, never",Multiple times a month,Almost always items I've researched and intended to buy,Somewhat comfortable,On-demand Streaming,No preference,Often,Yes,No,No,Yes,Explanation;Programming;Creative tasks,"Personal use (e.g., casual conversations, entertainment, recommendations);Work or business (e.g., customer support, automation, data analysis);Education and learning (e.g., research, studying, tutoring);Technical support (e.g., troubleshooting, coding help)",Daily,Very,Yes (Austria-wide),Good - The connection is usually reliable and well-developed for everyday use.,Several times a week,"No, I never had one of these allergy prone pets","No, I am not allergic to any of those pets.","No, I do not have or plan on having any of those pets",Yes,No,3,;;;;
41,2025/04/01 10:01:03 AM OEZ,Female,50-59,Associate degree,Lower Austria,Yes,Without raisins,"Yes, always",Multiple times a month,Almost always items I've researched and intended to buy,Neutral,Regular television (fixed program),Movies,Often,No,No,No,Yes,Explanation;Writing,"Personal use (e.g., casual conversations, entertainment, recommendations);Health and wellness (e.g., symptom checking, mental health support)",Several times a month,Very,No,"Sufficient - There is public transport, but with restrictions (e.g. infrequent journeys, long waiting times).",Rarely (only a few times a year),I had more than one of the above mentioned allergy prone pets in my childhood,"No, I am not allergic to any of those pets.",I have/plan to have a (or more) cat(s),Yes,Yes,3,Yes;;;;;;;
